softmax_alpha;n_attributes_selected;critique_attributes;accuracy;diversity;serendipity;n_valid_tests
0.5;0;[];0.423155957539883;0.6669758209805383;0.62;10
0.5;1;['director'];0.5066542294837603;0.5326818081947018;0.2;10
0.5;1;['genre'];0.47013154948607383;0.6562519118128859;0.62;10
0.5;1;['starring'];0.45530372091657306;0.6520010917517234;0.4222222222222223;9
0.5;1;['tag'];0.48452719665429334;0.616261028389982;0.36;10
0.5;2;['genre', 'tag'];0.5299055533057727;0.5741633613187462;0.3;10
0.5;2;['starring', 'director'];0.604054741367487;0.26613531623766734;0.125;8
0.5;4;['genre', 'tag', 'starring', 'director'];0.7330347897230515;0.16054684288729915;0.15;4
1.0;0;[];0.5056048735117031;0.6166905317176882;0.26;10
1.0;1;['director'];0.5280791464056633;0.5123619095145308;0.06000000000000001;10
1.0;1;['genre'];0.5372589053069735;0.6169346576912427;0.26;10
1.0;1;['starring'];0.48016418273085076;0.6443396889592898;0.2222222222222222;9
1.0;1;['tag'];0.5048240037905578;0.5974835246777144;0.14;10
1.0;2;['genre', 'tag'];0.5350105374621987;0.5670413521990425;0.18;10
1.0;2;['starring', 'director'];0.6296348778727678;0.24768677200962666;0.025;8
1.0;4;['genre', 'tag', 'starring', 'director'];0.7384079406177745;0.14391180526449668;0.0;4
1.5;0;[];0.5169844239175182;0.616007791278289;0.14;10
1.5;1;['director'];0.5252959563443123;0.5118483489015688;0.12000000000000002;10
1.5;1;['genre'];0.5373571710677281;0.6216891463953486;0.18;10
1.5;1;['starring'];0.4817117848461206;0.6440337534880799;0.2;9
1.5;1;['tag'];0.5056298335657563;0.5895335291401217;0.1;10
1.5;2;['genre', 'tag'];0.5371710959985283;0.5581264175081835;0.12000000000000002;10
1.5;2;['starring', 'director'];0.6296348778727678;0.24768677200962666;0.025;8
1.5;4;['genre', 'tag', 'starring', 'director'];0.7388378992388576;0.12241358999156662;0.05;4
