softmax_alpha;n_attributes_selected;accuracy;diversity;serendipity;n_valid_tests
0.5;0;0.423155957539883;0.6669758209805383;0.62;10
0.5;1;0.4797657242177034;0.613332238711313;0.39999999999999997;39
0.5;2;0.562860747999868;0.4372620079493778;0.2222222222222222;18
0.5;4;0.7330347897230515;0.16054684288729915;0.15;4
1.0;0;0.5056048735117031;0.6166905317176882;0.26;10
1.0;1;0.5134127743489642;0.5914579004991919;0.16923076923076924;39
1.0;2;0.5770657998668961;0.42510598322596876;0.1111111111111111;18
1.0;4;0.7384079406177745;0.14391180526449668;0.0;4
1.5;0;0.5169844239175182;0.616007791278289;0.14;10
1.5;1;0.5132880941895654;0.590436257070849;0.14871794871794872;39
1.5;2;0.578266110164857;0.4201532417310471;0.07777777777777778;18
1.5;4;0.7388378992388576;0.12241358999156662;0.05;4
