movie_title;critique_attributes;softmax_alpha;accuracy;diversity;serendipity;n_results
Interstellar (2014);[];0.5;0.44342384521798;0.5906651778385237;0.6;5
Interstellar (2014);['genre'];0.5;0.506700820813425;0.6407579649033399;0.4;5
Interstellar (2014);['tag'];0.5;0.4635834364819914;0.6923332593705933;0.4;5
Interstellar (2014);['starring'];0.5;0.5001437737452258;0.454932556197591;0.2;5
Interstellar (2014);['director'];0.5;0.5256704431202983;0.4558320836441042;0.2;5
Interstellar (2014);['genre', 'tag'];0.5;0.4990118885636896;0.6931476737240068;0.6;5
Interstellar (2014);['starring', 'director'];0.5;0.504806855879455;0.45617535109607965;0.0;5
Interstellar (2014);['genre', 'tag', 'starring', 'director'];0.5;0.8031158500460579;0.0;0.0;1
Interstellar (2014);[];1.0;0.5172815217237817;0.49024008420072096;0.2;5
Interstellar (2014);['genre'];1.0;0.5986299054364361;0.5530112935599412;0.0;5
Interstellar (2014);['tag'];1.0;0.5099906337978265;0.6485370334618812;0.0;5
Interstellar (2014);['starring'];1.0;0.49382661684759965;0.5121158991614839;0.2;5
Interstellar (2014);['director'];1.0;0.5292082456242719;0.43363951217285573;0.0;5
Interstellar (2014);['genre', 'tag'];1.0;0.5280333759120015;0.5544050735251624;0.2;5
Interstellar (2014);['starring', 'director'];1.0;0.504806855879455;0.45617535109607965;0.0;5
Interstellar (2014);['genre', 'tag', 'starring', 'director'];1.0;0.8031158500460579;0.0;0.0;1
Interstellar (2014);[];1.5;0.525559900885964;0.5562132224468646;0.0;5
Interstellar (2014);['genre'];1.5;0.5986299054364361;0.5530112935599412;0.0;5
Interstellar (2014);['tag'];1.5;0.5099906337978265;0.6485370334618812;0.0;5
Interstellar (2014);['starring'];1.5;0.5106700635572252;0.5128398035449652;0.0;5
Interstellar (2014);['director'];1.5;0.5256704431202983;0.4558320836441042;0.2;5
Interstellar (2014);['genre', 'tag'];1.5;0.5280333759120015;0.5544050735251624;0.2;5
Interstellar (2014);['starring', 'director'];1.5;0.504806855879455;0.45617535109607965;0.0;5
Interstellar (2014);['genre', 'tag', 'starring', 'director'];1.5;0.8031158500460579;0.0;0.0;1
Toy Story 2 (1999);[];0.5;0.47551913154032655;0.7082133346085695;0.4;5
Toy Story 2 (1999);['genre'];0.5;0.44402410018627797;0.7419558570972861;0.6;5
Toy Story 2 (1999);['tag'];0.5;0.49401294277488167;0.6646126598540214;0.4;5
Toy Story 2 (1999);['starring'];0.5;0.4935240943765834;0.6312409603260262;0.4;5
Toy Story 2 (1999);['director'];0.5;0.5568816035040622;0.5214665357674142;0.0;5
Toy Story 2 (1999);['genre', 'tag'];0.5;0.5063733566214178;0.636067013394724;0.6;5
Toy Story 2 (1999);['starring', 'director'];0.5;0.6929573525977027;0.0;0.0;1
Toy Story 2 (1999);['genre', 'tag', 'starring', 'director'];0.5;0.0;0.0;0.0;0
Toy Story 2 (1999);[];1.0;0.5291511796930048;0.6853829510659918;0.0;5
Toy Story 2 (1999);['genre'];1.0;0.5307261697273199;0.670346263536014;0.2;5
Toy Story 2 (1999);['tag'];1.0;0.5113319980473474;0.5994688194280684;0.0;5
Toy Story 2 (1999);['starring'];1.0;0.49043281170142217;0.6768126169782815;0.2;5
Toy Story 2 (1999);['director'];1.0;0.5568816035040622;0.5214665357674142;0.0;5
Toy Story 2 (1999);['genre', 'tag'];1.0;0.5206133194329714;0.6964301890505641;0.2;5
Toy Story 2 (1999);['starring', 'director'];1.0;0.6929573525977027;0.0;0.0;1
Toy Story 2 (1999);['genre', 'tag', 'starring', 'director'];1.0;0.0;0.0;0.0;0
Toy Story 2 (1999);[];1.5;0.5291511796930048;0.6853829510659918;0.0;5
